Line	Elapsed	Date	Experiment	EGFP_untreated_1	EGFP_untreated_2	EGFP_untreated_3	EGFP_DOX_1	EGFP_DOX_2	EGFP_DOX_3	Ptf1a_untreated_1	Ptf1a_untreated_2	Ptf1a_untreated_3	Ptf1a_DOX_1	Ptf1a_DOX_2	Ptf1a_DOX_3
12738	60	180319	3	63.13947	57.96027	52.03662	60.85527	67.31053	64.27501	75.34473	88.16869	75.60762	52.92808	60.5802	50.79642
12738	62	180319	3	65.17487	60.06048	54.78912	63.48812	69.7209	67.66151	78.40038	90.02955	78.69545	56.1328	63.27995	53.39014
12738	64	180319	3	67.62829	63.21431	57.56978	65.99457	72.98024	70.37083	82.06924	91.52715	81.12803	58.61214	66.38403	55.99377
12738	66	180319	3	68.33922	65.73251	61.31562	69.44589	75.93843	73.47343	85.12192	91.95045	84.25142	61.25904	69.20491	58.43703
12738	68	180319	3	70.41026	68.15724	63.53609	72.27084	78.54004	76.30899	87.81921	93.13776	85.91595	63.89059	71.65971	61.237
12738	70	180319	3	72.56729	70.26096	66.23798	75.21206	80.85123	80.11705	89.38562	94.10917	88.5519	66.54201	74.64008	64.8138
12738	72	180319	3	74.41438	72.402	69.0616	78.66664	83.48315	82.25925	92.23974	95.19001	90.02525	68.60867	77.12852	67.01888
12910	0	180319	1	10.09667	9.587719	8.975983	9.823339	10.44751	8.187997	5.832884	7.963742	8.742508	5.488506	9.435992	7.960358
12910	2	180319	1	10.29022	10.24626	9.391645	10.342	11.44234	9.035285	6.253385	8.623349	9.05466	5.920646	9.270386	8.117712
12910	4	180319	1	10.38202	10.35288	9.447081	10.65377	11.72196	9.159796	6.216566	8.853303	9.204901	5.781389	9.645711	8.213039
12910	6	180319	1	10.79134	10.80004	9.916453	11.19732	12.03605	9.601013	6.418476	8.965071	9.554528	5.657571	9.193089	8.529301
12910	8	180319	1	11.52617	11.42179	10.53005	11.55777	12.65777	10.1425	6.88847	9.564131	10.08617	6.144073	9.935345	9.007169
12910	10	180319	1	12.65293	12.46091	11.21204	12.44533	13.73449	10.94013	7.623957	10.26919	11.40352	6.28903	10.55872	9.538122
12910	12	180319	1	14.10011	12.91905	11.73595	12.86034	14.37496	11.65039	8.463299	10.99511	12.28783	6.182374	11.3646	9.761377
12910	14	180319	1	15.33967	14.18587	12.54231	13.91329	15.78922	12.21299	9.459824	12.43507	13.07558	6.621317	11.84164	10.14216
12910	16	180319	1	16.44441	14.75612	13.57759	14.91748	16.61783	12.97345	9.474778	13.02069	13.7261	6.97858	11.71039	10.54152
12910	18	180319	1	17.44197	15.80491	14.83235	15.7674	18.13228	14.0741	10.11816	13.67246	14.84682	7.280993	12.61809	11.31283
12910	20	180319	1	19.64239	16.53224	15.757	17.40357	19.52234	15.01699	11.09099	14.61538	16.12297	7.158109	13.60349	11.95081
12910	22	180319	1	21.12044	17.7095	17.09269	18.96009	20.98343	16.21356	12.22438	15.81454	17.31636	7.84393	14.38698	12.61463
12910	24	180319	1	22.82513	19.19094	18.22937	20.38792	22.36003	18.29947	13.63347	17.18484	19.40408	8.781153	15.63336	13.39595
12910	26	180319	1	24.58111	21.07084	20.28794	22.18808	25.58081	20.08027	14.20942	18.96544	20.7722	9.410884	16.53065	14.32451
12910	28	180319	1	27.77718	23.76547	22.59214	24.13271	27.71454	21.88757	15.17749	20.88513	23.37025	9.908544	18.72423	15.78536
12910	30	180319	1	30.44032	25.36965	25.66191	26.9028	30.85816	24.20565	17.20459	22.58195	26.19449	11.15934	20.6298	17.49668
12910	32	180319	1	33.68424	27.43932	28.09746	29.09183	34.79685	26.21021	18.91806	23.89854	29.07023	11.96597	22.48321	18.2038
12910	34	180319	1	36.28947	29.85597	30.44595	32.22197	37.51699	29.62882	20.6329	26.69411	31.75063	12.5535	24.55569	19.71716
12910	36	180319	1	39.67586	32.74952	33.24101	35.81172	42.19962	32.47013	22.44191	29.67837	34.99554	14.273	26.92701	20.82935
12910	38	180319	1	43.10675	36.08743	37.54196	39.72172	46.34956	36.44731	24.77318	32.41544	38.5155	15.63677	29.4003	22.9897
12910	40	180319	1	48.83347	39.65163	41.52147	43.75118	52.146	40.17885	27.0969	35.64061	42.67894	17.36678	32.22627	24.96428
12910	42	180319	1	52.92078	42.78868	45.66272	47.84248	56.86781	44.36718	30.17436	38.85764	46.4809	18.81037	34.69682	27.70612
12910	44	180319	1	57.48902	47.04992	49.75715	51.75528	62.00214	48.66858	33.49289	42.87326	50.39935	21.40176	38.87558	31.01758
12910	46	180319	1	62.48075	51.0173	53.91919	56.94095	67.21985	53.43589	36.61555	47.21818	54.86019	23.62786	43.12662	34.08517
12910	48	180319	1	68.1487	55.02383	57.77173	61.45083	72.05197	58.41854	40.02561	51.6176	59.34444	26.1729	46.39124	37.16438
12910	50	180319	1	73.98287	58.81419	61.95795	66.25855	77.70474	62.93176	43.85379	55.60817	64.22304	28.11809	49.82124	41.07365
12910	52	180319	1	78.42741	63.35599	65.87094	70.56297	82.33974	67.67696	47.84914	60.16757	68.69809	30.8444	53.33781	44.88284
12910	54	180319	1	83.08041	67.58611	69.61585	75.12577	86.82389	72.23607	52.06761	64.73932	73.37914	33.90623	57.20746	49.45269
12910	56	180319	1	87.24339	71.28875	73.63003	79.63953	89.825	76.77179	56.71325	69.23047	78.46782	36.75486	61.64915	53.14833
12910	58	180319	1	91.58006	74.69812	77.7104	82.76474	92.4586	81.05653	61.34401	74.52206	82.96629	39.73883	65.35709	57.22865
12910	60	180319	1	94.94633	78.17097	81.43426	84.7809	95.41946	84.94154	64.92889	78.49499	87.3051	43.07318	68.27804	60.84435
12910	62	180319	1	97.47513	81.83582	85.78453	87.19243	97.0601	88.3383	69.46359	83.30097	91.30966	47.22956	72.50287	64.67097
12910	64	180319	1	98.94742	85.33484	89.61743	89.09007	98.41573	90.91166	73.62751	88.04297	93.97095	51.06734	77.0675	69.62257
12910	66	180319	1	99.72932	88.1949	92.37859	91.42255	99.45723	92.62425	77.68731	93.32773	96.01642	54.28619	80.49997	72.66505
12910	68	180319	1	99.97237	91.31332	94.37384	93.01715	99.88571	94.30943	81.82896	96.5528	97.79626	57.4877	83.21005	76.20613
12910	70	180319	1	100	94.39085	96.61313	94.25426	100	96.2364	86.46199	98.62827	98.94027	62.20457	85.74111	80.68604
12910	72	180319	1	100	97.55563	97.99059	95.87193	99.99161	97.8966	89.41573	99.70856	99.44527	66.47853	88.64375	84.25794
12910	0	171204	2	3.37395	3.372637	3.462298	4.29128	3.261977	4.687086	3.60487	2.683431	3.360549	2.153238	2.789463	2.514333
12910	2	171204	2	3.6162	3.519389	3.529646	4.571106	3.486164	4.90654	3.726514	2.807872	3.594579	2.366787	3.013477	2.776373
12910	4	171204	2	3.839038	3.828401	3.742091	4.657002	3.703511	4.950817	3.871057	3.100547	3.756701	2.477515	3.002286	3.04083
12910	6	171204	2	3.781567	4.403322	3.968695	5.430792	3.690007	5.489197	4.220167	3.348564	4.4209	2.826833	3.34708	2.973102
12910	8	171204	2	3.997534	4.823685	4.120006	5.681849	4.218716	5.849706	4.573627	3.453422	4.66208	2.755339	3.64756	3.250855
12910	10	171204	2	4.165423	5.004733	4.327476	5.954458	4.322502	5.978877	4.849588	3.65464	4.580915	2.851769	3.840593	3.105589
12910	12	171204	2	4.349615	5.049459	4.426289	6.329679	4.380216	6.438407	4.850381	3.704996	4.987082	2.522346	3.685276	3.477633
12910	14	171204	2	4.643429	5.337057	4.906955	6.206481	4.28268	6.333856	5.14568	3.928872	5.024245	2.82856	3.699229	3.649943
12910	16	171204	2	4.805171	5.527224	5.310048	6.826164	4.836014	6.950846	5.990101	4.126154	5.757383	2.79789	4.056421	3.760533
12910	18	171204	2	4.947709	5.88452	5.733206	7.269872	5.035677	7.10005	5.975112	4.524171	6.362768	2.743597	4.517297	4.280296
12910	20	171204	2	5.365481	6.361111	5.853364	7.533224	5.40071	7.648271	6.532866	4.640322	6.499882	2.873598	4.470877	4.224034
12910	22	171204	2	5.562004	6.910161	6.121139	7.529634	5.876507	7.994965	6.861425	5.065899	7.018161	3.058204	4.334418	4.000988
12910	24	171204	2	5.697323	7.556088	6.827129	8.359684	6.059903	8.755596	7.472299	5.495034	7.592422	3.159365	4.487939	4.156651
12910	26	171204	2	6.369225	7.907964	7.323509	9.371894	7.020855	9.646606	8.364418	6.214529	8.190312	3.387973	4.685116	4.487421
12910	28	171204	2	6.698649	8.92566	8.213003	10.6184	7.597121	10.88176	9.516327	6.897449	9.515153	3.661272	4.80676	5.105514
12910	30	171204	2	7.214718	9.757892	8.840971	11.28261	8.068738	11.56547	9.793496	7.293737	9.955201	4.10032	5.356915	5.721086
12910	32	171204	2	8.090982	10.56103	9.484861	12.6884	9.255325	12.93238	10.74992	8.053887	11.12356	3.79041	5.297993	6.147906
12910	34	171204	2	9.16342	11.77563	10.756	14.55567	9.791183	14.34498	12.24183	8.863562	12.32019	4.14332	5.903204	6.333201
12910	36	171204	2	10.00656	12.71669	12.3146	16.18113	10.91774	15.77661	13.56888	9.866821	13.60849	4.71437	6.173187	7.07304
12910	38	171204	2	10.82757	14.56851	13.34362	17.82669	12.15907	17.3403	15.41435	10.67674	15.06697	5.055846	6.821536	8.208652
12910	40	171204	2	11.96058	16.15163	14.68062	19.14483	13.39916	18.91709	16.7757	12.20049	16.35295	5.321203	7.311043	8.686001
12910	42	171204	2	13.39143	17.95858	16.15664	21.2415	15.22684	21.43995	18.61322	13.70889	18.09374	5.568186	7.844553	9.484657
12910	44	171204	2	15.13545	19.79332	17.76912	24.14621	17.14743	23.70012	21.32626	15.30227	20.55872	5.915811	8.483162	9.823891
12910	46	171204	2	16.49836	21.773	19.66211	26.83815	18.70886	26.37928	23.30021	17.03522	22.83366	6.536561	8.760949	10.5974
12910	48	171204	2	18.50232	23.30076	21.39926	29.35127	21.23452	29.87769	24.85494	18.71405	24.9971	7.157933	9.500892	11.93841
12910	50	171204	2	21.6227	26.39247	24.109	32.33183	24.04588	33.09624	27.1771	21.29086	27.89117	7.32023	10.3411	12.85336
12910	52	171204	2	24.32536	29.12418	26.09612	35.55313	26.88882	36.72683	29.50614	23.6809	30.24608	7.834636	11.03928	14.49892
12910	54	171204	2	28.13761	31.62426	28.87482	39.56849	29.875	40.57355	33.07115	25.85548	33.13067	8.545046	11.81504	15.78208
12910	56	171204	2	30.56258	35.42031	32.11681	44.46455	33.06175	45.4818	35.88687	28.75349	36.27174	9.803752	13.22095	17.10046
12910	58	171204	2	33.63744	39.03915	35.50769	48.93314	36.53854	50.51347	39.84182	32.26535	40.69789	10.35435	14.52431	18.27261
